MED_DIRECTIONS,FREQUENCY
1 spray in each nostril twice a day,8227
2 puffs from the inhaler every 4 hours as needed for shortness of breath,8139
as needed for pain,8130
1 tablet by mouth every evening,8114
0.5 tablet by mouth twice a day,8088
1 tablet by mouth daily for 30 day(s),7948
(Also Known As Zocor) 1 tablet by mouth daily,7801
1 tablet by mouth every 4 hours for 7 days as needed for pain,7736
(Also Known As Tenormin) 1 tablet by mouth daily,7715
650 mg orally every 6 hours as needed,7588
1 tablet by mouth every 6 hours for 10 days as needed for pain,7536
as directed as needed,7505
by mouth 1 time a day,7464
20mg 1 tab by mouth daily,7412
5mg 1 tablet by mouth daily,7335
1 tablet by mouth twice a day for 14 days,7298
1 capsule by mouth every morning,7237
81 MG orally every morning,7032
1 tablet by mouth every 4 hours for 14 days as needed for pain,7028
10 mg once daily,6997
(Also Known As Lopressor) 1 tablet by mouth twice a day,6915
"place 1 tablet (0.4 mg) by sublingual route at the 1st sign of attack; may repeat every 5 min until relief; if pain persists after 3 tablets in 15 min, prompt medical attention is recommended",6844
81mg 1 tab by mouth daily,6819
1 capsule by mouth twice a day for 5 days,6799
as needed by mouth,6783
40mg 1 tab by mouth daily,6781
1 tablet by mouth every 12 hours for 10 days,6683
600 MG orally every 6 hours as needed,6656
1 tablet by mouth daily for 90 day(s),6636
20 mg 1 tablet by mouth daily,6629
apply to the affected area(s) by topical route 2 times per day,6607
(Also Known As Zyloprim) 1 tablet by mouth daily,6590
4 drops in each affected ear twice a day for 7 days,6582
1 capsule by mouth twice a day for 7 days,6531
(Also Known As Pravachol) 1 tablet by mouth every evening at bedtime,6429
2 tablet orally twice daily,6411
5 mg by mouth daily,6373
20 mg once daily,6371
1 tablet by mouth every 4 hours for 5 days as needed for pain,6315
40 mg 1 tablet by mouth daily,6293
one tablet by mouth once daily,6239
500mg by mouth daily,6219
20 mg orally once daily,6217
(Also Known As Pravachol) 1 tablet by mouth daily,6110
take 1 tablet by mouth daily,6106
1 tablet by mouth twice a day as needed for pain,6082
100mg 1 tablet by mouth daily,6081
1 tab daily by mouth,6043
1 tablet orally daily,6043
(Also Known As Zestoretic) 1 tablet by mouth daily,6035
40 mg once daily,6026
1000 MG orally every 8 hours,5985
1 tablet by mouth as needed,5966
10 mg one tablet by mouth daily,5935
1 tab orally once daily,5911
1000mg by mouth daily ,5855
(Also Known As Prozac) 1 capsule by mouth daily,5844
1 tablet by mouth three times a day as needed for pain,5807
1 capsule by mouth every evening at bedtime,5736
1 tablet by mouth twice daily,5719
(Also Known As Augmentin) 1 tablet by mouth every 12 hours for 10 days,5703
(Also Known As Hyzaar) 1 tablet by mouth daily,5651
25mg 1 tablet by mouth daily,5626
2 tablets by mouth every evening at bedtime,5578
(Also Known As Neurontin) 1 capsule by mouth every evening at bedtime,5538
1 tab orally every 4 hours as needed,5526
evaluation and treatment,5521
50mg 1 tablet by mouth daily,5519
100 mg by mouth daily,5494
(Also Known As Flomax) 1 capsule by mouth daily,5479
(Also Known As Norco) 1 tablet by mouth every 6 hours as needed for pain,5457
"325 mg orally once daily, in the morning",5449
2 puffs as needed,5442
(Also Known As Zocor) 1 tablet by mouth every evening,5439
(Also Known As Flonase) 1 spray in each nostril daily,5428
(Also Known As Prilosec) 1 capsule by mouth twice a day,5366
(Also Known As Wellbutrin XL) 1 tablet by mouth daily,5357
40 mg orally once daily,5356
1 tab by mouth once daily,5355
25 mg by mouth daily,5288
1 capsule by mouth three times a day,5270
1 tablet by mouth twice a day as needed for constipation,5260
10 mg orally once daily,5251
one tablet daily by mouth,5248
(Also Known As Mobic) 1 tablet by mouth daily as needed for pain,5223
1 tablet by mouth daily for 5 days,5217
1 capsule by mouth twice a day as needed for constipation,5181
325mg by mouth daily,5162
1 tablet by mouth every 6 hours for 14 days as needed for pain,5113
apply 2 gram to the affected area(s) by topical route 4 times per day,5104
by mouth twice daily,5046
20 mg orally daily,5021
500mg twice daily,4981
100mg once daily,4976
75mg by mouth daily,4944
20 mg one tablet by mouth daily ,4944
50 mg by mouth daily,4917
10mg one tablet by mouth daily,4897
10 milliliters (800 mg) by mouth twice a day for 10 days,4889
1 tablet PO daily,4728
(Also Known As Bactrim DS) 1 tablet by mouth twice a day for 7 days,4720
17 gram by mouth daily,4715
1 capsule from the inhaler daily,4714
2 capsules by mouth daily,4708
Take 1 tablet by mouth daily.,4678
apply to the affected area(s) by topical route once daily at bedtime,4671
81mg one tablet by mouth daily,4669
2 tablets by mouth twice a day for 14 days,4636
5 milliliters (5 mg) by mouth daily,4608
(Also Known As Flagyl) 1 tablet by mouth twice a day for 7 days,4608
17 GM orally every 24 hours,4511
(Also Known As Neurontin) 1 capsule by mouth twice a day,4509
(Also Known As Zofran ODT) 1 tablet by mouth every 8 hours as needed for nausea,4489
(Also Known As Cymbalta) 1 capsule by mouth daily,4488
81 mg one tablet by mouth daily ,4476
"20 mg orally once daily, at bedtime ",4465
1 tablet by mouth every 8 hours as needed for pain,4433
40 mg one tablet by mouth daily,4411
by mouth once a day,4393
1 tablet by mouth every 4 hours for 10 days as needed for pain,4393
3 tablets by mouth daily,4329
(Also Known As Cipro) 1 tablet by mouth twice a day for 3 days,4307
take one tablet daily,4301
(Also Known As Plaquenil) 1 tablet by mouth twice a day,4289
1 tablet by mouth every evening at bedtime as needed for insomnia,4279
75 mg orally once daily,4239
500mg by mouth twice daily,4217
1 packet by mouth daily,4216
(Also Known As Augmentin) 1 tablet by mouth twice a day for 7 days,4199
"2 tab orally twice daily, at 10:00 and 18:00",4150
1 tablet by mouth every 4 hours for 3 days as needed for pain,4138
500mg 1 tablet by mouth daily,4114
1 capsule by mouth twice a day for 14 days,4103
2 puffs from the inhaler every 4 hours as needed for cough,4089
2 sprays each nostril daily,4088
20mg one tablet by mouth daily,4068
(Also Known As Valtrex) 1 tablet by mouth daily,4048
5 mg orally once daily,4045
(Also Known As Neurontin) 1 tablet by mouth three times a day,4040
1 drop in both eyes twice a day,4020
(Also Known As Macrobid) 1 capsule by mouth twice a day for 7 days,4014
10mg daily by mouth,3973
1 tablet by mouth twice a day for 30 day(s),3962
300mg by mouth daily,3888
81 mg once daily,3887
(Also Known As Cipro) 1 tablet by mouth twice a day for 7 days,3880
1 tablet oral daily,3875
(Also Known As Proscar) 1 tablet by mouth daily,3869
1 tablet by mouth twice a day for 5 days,3863
60mg by mouth daily,3847
one tab po daily,3834
5 milliliters (400 mg) by mouth twice a day for 10 days,3827
(Also Known As Cipro) 1 tablet by mouth twice a day for 3 days as needed for diarrhea,3823
1 capsule by mouth every week for 8 weeks,3819
1 tablet by mouth daily for 14 days,3817
30mg by mouth daily,3807
10 mg by mouth once daily,3798
(Also Known As Naprosyn) 1 tablet by mouth twice a day,3784
40 MG orally daily,3779
(Also Known As Diflucan) 1 tablet by mouth one time only,3764
1 tablet by mouth every 6 hours for 10 days,3764
4 tablets by mouth daily,3746
"40 mg orally once daily, at bedtime",3714
take one tablet by mouth daily,3713
40mg one tablet by mouth daily,3705
1 tablet by mouth every 6 hours for 5 days,3703
10mg by mouth once daily,3703
5MG 1 TAB BY MOUTH DAILY,3691
1 milliliter by mouth daily,3683
100mg twice daily,3676
1 tab by mouth as needed,3670
1 tablet by mouth three times a day for 7 days,3666
20mg daily by mouth,3664
(Also Known As Flonase) 1 spray in each nostril twice a day,3631
1 tablet by mouth every 6 hours as needed,3617
1 tablet by mouth every 6 hours,3613
500 mg by mouth daily ,3610
325mg 1 tablet by mouth daily,3589
325 mg by mouth daily,3581
inject 0.3 milliliter (0.3 mg) by intramuscular route once as needed for anaphylaxis,3577
200mg by mouth daily,3568
1mg by mouth daily,3546
1 tablet by mouth every 8 hours,3543
20mg twice daily,3540
(Also Known As Remeron) 1 tablet by mouth every evening at bedtime,3533
75mg 1 tablet by mouth daily,3529
(Also Known As Lasix) 1 tablet by mouth twice a day,3521
81mg daily by mouth,3500
(Also Known As Estrace) 1 tablet by mouth daily,3472
(Also Known As Plaquenil) 2 tablets by mouth daily,3472
40mg daily by mouth,3442
0.4 mg sub lingual every 5 minutes as needed,3440
(Also Known As Ambien) 1 tablet by mouth every evening at bedtime as needed for insomnia,3434
(Also Known As Keppra) 1 tablet by mouth twice a day,3426
"1 patch on dry, cleaned skin daily",3412
10 MG orally daily,3402
1 tablet by mouth three times a day for 5 days,3393
5 mg 1 tablet by mouth daily,3373
1000 mg by mouth daily,3319
1 tablet by mouth twice a day for 14 days as needed for constipation,3280
"1 patch on dry, cleaned skin twice a week",3270
one orally daily,3252
25mg twice daily,3249
take 1 tablet (150 mg) by oral route once,3244
2 puffs from the inhaler every 4 hours,3244
x mg 1 tablet once daily,3241
(Also Known As Augmentin) 1 tablet by mouth every 12 hours for 7 days,3227
"100 mg orally twice daily, at 10:00 and 18:00",3207
6 milliliters (480 mg) by mouth twice a day for 10 days,3204
1 tab by mouth twice daily,3195
2 puffs twice daily,3191
1 tablet by mouth every 6 hours for 7 days,3189
75 mg by mouth daily,3181
1 tablet by mouth twice a day as needed,3174
1 tablet by mouth daily for 7 days,3170
one tablet by mouth as needed,3162
150MG BY MOUTH DAILY,3155
2 tabs by mouth daily,3150
1 tablet by mouth daily for 3 days as needed for diarrhea,3149
(Also Known As Bactrim DS) 1 tablet by mouth twice a day for 10 days,3147
1000mg twice daily,3142
2 puffs from the inhaler every 6 hours as needed for wheezing,3141
(Also Known As Keflex) 1 capsule by mouth three times a day for 7 days,3138
(Also Known As Klor-Con M20) 1 tablet by mouth daily,3138
100mg by mouth twice daily,3122
(Flonase) 2 sprays in each nostril daily,3120
20mg by mouth twice daily,3116
25mg by mouth twice daily,3115
50mg twice daily,3113
(Also Known As Trileptal) 1 tablet by mouth twice a day,3112
10mg 1 tab daily ,3099
1 tablet by mouth three times a day for 10 days,3094
1 tablet daily by mouth,3085
20mg by mouth once daily,3084
25mg 1 tab by mouth daily,3079
100 mg 1 tablet by mouth daily,3059
2 puffs from the inhaler every 6 hours as needed for shortness of breath,3057
20 mg by mouth once daily,3048
500mg once daily,3029
81 mg one by mouth daily,3024
1 daily by mouth,3019
10mg 1 tab po daily,3019
15mg by mouth daily,3006
10 mg 1 tab by mouth daily,3000
1000mg by mouth twice daily,2992
1 capsule by mouth every 12 hours for 10 days,2992
40 mg by mouth once daily,2987
(Also Known As Norco) 1 tablet by mouth every 4 hours as needed for pain,2979
"insert 1 vaginal ring by vaginal route once a month leave in place for 3 weeks, remove for 1 week",2976
100mg 1 tab by mouth daily,2973
50mg by mouth twice daily,2971
50 mg 1 tablet by mouth daily,2959
(Also Known As Macrobid) 1 capsule by mouth every 12 hours for 7 days,2955
"10 mg orally once daily, at bedtime",2949
Take 1-2 tablets by mouth every 4-6 hours as needed for pain.,2943
25 mg orally once daily,2895
20 mg one by mouth daily,2882
25 mg 1 tablet by mouth daily,2877
(Also Known As Xalatan) 1 drop in both eyes every evening at bedtime,2876
(Also Known As Pamelor) 1 capsule by mouth every evening at bedtime,2865
50mg 1 tab by mouth daily,2856
40mg by mouth once daily,2844
1 tablet by mouth four times a day,2838
(Also Known As Effexor XR) 1 capsule by mouth daily,2835
(Also Known As Altace) 1 capsule by mouth daily,2807
1 tablet by mouth daily for 28 day(s),2806
(Also Known As Deltasone) 2 tablets by mouth daily for 5 days,2793
10mg twice daily,2787
(Also Known As Flomax) 1 capsule by mouth every evening at bedtime,2784
40 mg one by mouth daily,2776
(Also Known As Paxil) 1 tablet by mouth daily,2763
1 spray each nostril daily,2756
1000mg 1 tablet by mouth daily,2752
10 mg one by mouth daily,2739
100 MG orally twice daily,2738
6 tablets by mouth every week,2719
take one by mouth daily,2715
(Also Known As Ambien) 1 tablet by mouth every evening at bedtime,2711
40mg twice daily,2704
1 tablet by mouth every 12 hours for 7 days,2704
(Also Known As Norco) 1 tablet by mouth every 6 hours for 3 days as needed for pain,2683
10mg by mouth at bedtime,2683
"20 mg orally once daily, in the morning",2668
"100 mg orally once daily, at bedtime, as needed",2667
10mg once daily by mouth,2667
1 tablet by mouth daily as needed for pain,2657
1 tablet by mouth every other day,2656
apply a small amount to the affected area by topical route 3 times per day,2653
by mouth daily as needed,2640
(Also Known As Protonix) 1 tablet by mouth twice a day,2639
17 gm orally every 24 hours at 10:00,2635
100 mg orally once daily,2633
orally as needed,2621
20mg 1 tab po daily,2616
1 tablet by mouth three times a day as needed,2612
1.5 tablets by mouth daily,2586
(Also Known As Roxicodone) 1 tablet by mouth every 4 hours for 5 days as needed for pain,2572
1000 units daily,2565
(Also Known As Singulair) 1 tablet by mouth every evening,2557
100 mg once daily,2557
5 mg one tablet by mouth daily,2552
1 puff from the inhaler daily,2545
(Also Known As Prilosec) 1 capsule by mouth every morning,2542
(Also Known As Levaquin) 1 tablet by mouth daily for 7 days,2542
500 mg twice daily,2524
7 milliliters (560 mg) by mouth twice a day for 10 days,2523
10mg one by mouth daily,2516
1 tablet by mouth daily for 3 days,2501
Take one tablet by mouth once daily,2500
(Also Known As Valtrex) 1 tablet by mouth three times a day for 7 days,2498
nebulizer as needed,2496
2 tablets by mouth twice a day for 7 days,2493
2 capsules by mouth twice a day,2477
1 tablet by mouth three times a day as needed for muscle spasms,2472
(Also Known As Zofran ODT) 1 tablet on the tongue every 8 hours for 3 days as needed for nausea,2466
apply to the affected and surrounding areas of skin by topical route 2 times per day in the morning and evening,2465
25 mg once daily,2453
(Also Known As Singulair) 1 tablet by mouth every evening at bedtime,2447
1 capsule by mouth three times a day as needed for cough,2445
40 mg 1 tab by mouth daily,2440
20 mg 1 tab by mouth daily,2439
500 mg by mouth twice daily,2427
10 MG ONE TAB BY MOUTH DAILY,2419
10mg 1 by mouth daily,2411
40mg 1 tab po daily,2408
40mg 1 tab daily,2401
(Also Known As Neurontin) 2 capsules by mouth three times a day,2400
1 pen subcutaneously every other week,2395
1 tablet by mouth daily as needed for allergy,2393
nasal spray as needed,2393
10mg by mouth as needed,2393
80mg by mouth daily,2392
?mg by mouth daily,2387
1 tablet by mouth every 8 hours as needed for nausea,2384
(Also Known As Cipro) 1 tablet by mouth twice a day for 5 days,2378
81mg one by mouth daily,2375
1 tablet by mouth every 6 hours for 2 days as needed for pain,2371
500 MG orally every 6 hours as needed,2365
1 drop in eyes as directed daily,2352
10mg 1 tablet daily,2344
(Also Known As Zofran (as hydrochloride)) 1 tablet by mouth every 8 hours as needed for nausea,2333
(Also Known As Maxzide-25mg) 1 tablet by mouth daily,2333
1 chewable tablet by mouth daily,2324
orally once daily,2318
by mouth as directed,2313
1 APPLICATION TOPICAL three times daily,2312
50 mg once daily,2310
40mg by mouth twice daily,2308
(Also Known As Amaryl) 1 tablet by mouth daily,2299
2 spray in each nostril twice a day,2296
as needed for allergies,2293
20mg 1 by mouth daily,2291
1 tablet by mouth every 6 hours for 3 day(s) as needed for pain,2291
20mg 1 tab daily,2289
20mg once daily by mouth,2286
(Also Known As Lamictal) 1 tablet by mouth twice a day,2280
2 tablets by mouth daily as needed for constipation,2277
1 drop in eyes as directed twice a day,2270
?mg 1 tablet by mouth daily,2268
1 capsule by mouth every 12 hours,2267
2 tablets by mouth three times a day,2263
(Also Known As Seroquel) 1 tablet by mouth every evening at bedtime,2261
1 tablet by mouth one time only,2252
2 puffs from the inhaler daily,2252
2 puffs from the inhaler every 6 hours as needed,2248
30mg 1 tablet by mouth daily,2242
one capsule by mouth daily,2240
inhale 1 puff by inhalation route 2 times per day in the morning and evening approximately 12 hours apart,2234
1 tablet by mouth twice a day for 3 days,2233
(Also Known As Aldactone) 1 tablet by mouth twice a day,2233
1000mg once daily,2231
one tablet by mouth daily as directed,2229
(Also Known As Glucophage XR) 2 tablets by mouth twice a day,2227
"take 1 tablet (100 mg) by oral route once with fluids as early as possible after the onset of a migraine attack;may repeat after 2 hours if headache returns, not to exceed 200mg in 24hrs",2222
(Also Known As Ultram) 1 tablet by mouth every 6 hours as needed for pain,2212
twice daily by mouth,2210
81 mg 1 tab by mouth daily,2205
500 mg orally every twelve hours,2204
300mg 1 tablet by mouth daily,2200
2 puffs from the inhaler every four or six hours as needed,2200
1 mg by mouth daily,2198
40mg 1 by mouth daily,2195
1000 units by mouth daily ,2195
500 mg 1 tablet by mouth daily,2193
10mg one tab by mouth daily,2192
2000 Units daily,2189
(Also Known As Lipitor) 1 tablet by mouth every evening,2183
20 mg twice daily,2182
1 tablet by mouth every 6 hours for 3 days,2175
10mg by mouth twice daily,2173
20mg one by mouth daily,2169
2 tablets by mouth twice a day as needed for constipation,2169
1 sprays in each nostril twice a day,2163
one tablet once daily,2157
25 mg orally every twelve hours,2156
one tablet by mouth twice daily,2154
1 tablet by mouth twice a day for 10 day(s),2153
(Also Known As Levaquin) 1 tablet by mouth daily for 5 days,2149
100 MG orally daily,2146
"(Also Known As Duragesic) 1 patch on dry, cleaned skin every three days",2144
one daily by mouth,2137
(Also Known As Neurontin) 1 capsule by mouth every 8 hours,2137
1 tab orally every 6 hours as needed,2133
1 application TOPICAL as needed,2130
81mg by mouth once daily,2129
(Also Known As Prevacid) 1 capsule by mouth daily,2128
(Also Known As Keflex) 1 capsule by mouth twice a day for 7 days,2127
5 MG orally daily,2125
3 tablets by mouth twice a day,2114
1 drop in both eyes every evening at bedtime,2114
(Also Known As Vitamin B-1) 1 tablet by mouth daily,2113
inject 0.3 mg by intramuscular route once as needed for anaphylaxis,2112
(Also Known As Topamax) 1 tablet by mouth twice a day,2111
1mg 1 tablet by mouth daily,2110
(Also Known As Aricept) 1 tablet by mouth daily,2108
100 mg twice daily,2105
(Also Known As Cipro) 1 tablet by mouth twice a day for 10 days,2101
25 mg by mouth twice daily,2101
2 tablet twice daily for until discontinued,2098
once by mouth daily  ,2093
1 tablet by mouth three times a week,2090
1 tablet by mouth daily for 4 days,2086
40mg one by mouth daily,2084
4 tablets by mouth every week,2083
500mg 1 tab by mouth daily,2083
1 milligram injection prn as needed for severe hypoglycemia,2077
1 tablet by mouth every 8 hours for 5 days as needed for pain,2076
(Also Known As Levaquin) 1 tablet by mouth daily for 10 days,2072
300 mg by mouth daily,2069
40mg once daily by mouth,2068
0.4mg by mouth daily,2068
apply to the affected area(s) by topical route 3 times per day,2065
(Also Known As Lortab) 1 tablet by mouth every 6 hours as needed for pain,2063
30 mg by mouth daily,2062
100 mg one tablet by mouth daily,2061
(Also Known As Roxicodone) 1 tablet by mouth every 4 hours for 7 days as needed for pain,2058
1 tablet once daily,2058
(Also Known As Nitrostat) 1 tablet sublingually at the first sign of symptoms as needed for chest pain,2058
5mg one tablet by mouth daily,2053
1 tablet by mouth every week,2050
60mg 1 tablet by mouth daily,2044
10mg one tablet daily,2040
(Also Known As Zoloft) 1.5 tablets by mouth daily,2038
"20 mg orally twice daily, at 10:00 and 18:00",2030
200mg 1 tablet by mouth daily,2027
(Also Known As Vitamin D2) 1 capsule by mouth every week,2026
three times daily,2023
150mg twice daily,2022
10mg orally daily,2022
40 mg one tab by mouth daily,2018
20 mg by mouth twice daily ,2015
2.5mg by mouth daily,2014
300mg once daily,2014
60 mg by mouth daily,2012
10 mg 1 tab daily,2008
(Also Known As Roxicodone) 1 tablet by mouth every 4 hours for 14 days as needed for pain,2007
40mg by mouth at bedtime ,1999
81 mg every morning,1995
1 tablet by mouth three times a day for 14 days,1995
(Also Known As Flagyl) 1 tablet by mouth every 12 hours for 7 days,1994
40mg orally daily,1990
10mg 1 tablet by mouth at bedtime,1986
(Also Known As Cleocin) 1 capsule by mouth three times a day for 7 days,1984
400mg by mouth daily,1983
(Also Known As Cipro) 1 tablet by mouth every 12 hours for 7 days,1982
1 tablet by mouth daily for 10 days,1976
"2 puffs from the inhaler every 4 hours as needed for cough, wheeze",1972
25 mg one tablet by mouth daily,1970
(Also Known As Dyazide) 1 capsule by mouth daily,1969
(Also Known As Mobic) 1 tablet by mouth twice a day,1964
600mg by mouth daily,1950
(Also Known As Lortab) 1 tablet by mouth every 4 hours as needed for pain,1950
2 puffs every 4 hours as needed,1948
(Also Known As Crestor) 1 tablet by mouth daily,1944
(Also Known As ZOFRAN ODT) 1 tablet by mouth every 8 hours for 3 days as needed for nausea,1939
10 mg once a day,1938
0.5 tablet by mouth every evening at bedtime,1938
(Also Known As Nexium) 1 capsule by mouth daily,1928
1000 mg twice daily,1925
apply a thin layer to the affected area(s) by topical route 3 times per day,1925
1 tablet by mouth every 8 hours for 3 days as needed for pain,1924
2 tablets by mouth daily for 5 days,1921
20 mg one tab by mouth daily,1918
500mg 1 tablet by mouth twice daily,1917
(Also Known As Astelin) 2 sprays in each nostril twice a day,1915
20 mg once daily by mouth,1915
3 tablets by mouth every week,1904
10 mg once daily by mouth,1904
by mouth daily - per pt,1903
81 mg by mouth once daily,1897
apply to affected area twice daily,1897
50 mg one tablet by mouth daily,1896
(Also Known As Deltasone) 1 tablet by mouth twice a day for 5 days,1894
once daily as needed,1893
(Also Known As Neurontin) 1 capsule by mouth three times a day for 14 days,1892
15mg 1 tablet by mouth daily,1891
25 mg twice daily,1891
5 MG orally every 4 hours as needed,1887
40 mg once daily by mouth,1884
20mg orally daily,1879
(Prilosec) 1 capsule by mouth daily,1876
(Also Known As Zoloft) 1 tablet by mouth every evening at bedtime,1874
(Also Known As Cleocin) 1 capsule by mouth three times a day for 10 days,1873
50 mg orally once daily,1872
"5 mg orally once daily, at bedtime",1867
25mg by mouth as needed,1866
200 mg by mouth daily,1863
1 sprays in each nostril daily,1861
1 tablet by mouth three times a day for 5 days as needed for pain,1858
100 mg by mouth twice daily,1856
I pill every 12 hours for 3 days to self treat traveler's diarrhea,1854
1200mg by mouth daily,1851
(Also Known As Bactrim DS) 1 tablet by mouth every 12 hours for 7 days,1849
81mg 1 by mouth daily,1844
2000 units by mouth daily,1840
10 mg tablet by mouth daily,1838
20mg 1 tablet daily,1836
400 mg orally every 6 hours as needed,1835
5000 un sub cutaneous every 8 hours,1833
1 tablet by mouth every 6 hours for 5 day(s) as needed for pain,1831
daily tab by mouth,1830
8 milliliters (640 mg) by mouth twice a day for 10 days,1826
20 mg 1 tab daily,1822
10 mg at bedtime,1821
1-2 tablets by mouth every 4 hours as needed for pain,1817
650 MG orally every 4 hours as needed,1815
2 sprays in each nostril daily as needed,1814
10mg 1 tab daily by mouth,1810
(Also Known As Ditropan XL) 1 tablet by mouth daily,1810
325 mg 1 tablet by mouth daily,1810
50 mg by mouth twice daily,1808
Take as directed.,1804
(Also Known As Zyprexa) 1 tablet by mouth every evening at bedtime,1801
1tab by mouth daily,1801
(Also Known As Lotrel) 1 capsule by mouth daily,1798
81mg orally once daily,1798
(Also Known As Plaquenil) 1 tablet by mouth daily,1797
1000 mg by mouth twice daily,1797
150mg by mouth twice daily,1792
1 tablet by mouth every 8 hours for 7 days,1790
10 mg 1 tablet once daily,1790
2 by mouth daily,1785
1 tablet by mouth every 6 hours for 7 day(s) as needed for pain,1780
(Also Known As Naprosyn) 1 tablet by mouth twice a day for 7 days,1777
40mg 1 capsule by mouth daily,1777
1 tablet by mouth every 8 hours for 7 days as needed for pain,1776
150mg 1 tablet by mouth daily,1774
"2 puffs from the inhaler every 4 hours as needed for cough, wheezing",1771
1 capsule by mouth every other day for 8 day(s),1771
1 capsule by mouth daily for 30 day(s),1768
10 mg 1 tablet by mouth once daily,1763
1 tablet by mouth every 6 hours for 3 days as needed for nausea,1761
100mg one tablet by mouth daily,1759
(Also Known As Fosamax) 1 tablet by mouth every week,1754
2 tab orally twice daily,1749
40mg 1 tablet daily,1747
5mg daily by mouth,1744
325mg 1 tab by mouth daily,1744
150 mg by mouth daily,1742
15 mg by mouth daily,1741
2 puffs from the inhaler every 6 hours as needed for cough,1741
(Also Known As Microzide) 1 capsule by mouth daily,1738
(Also Known As Keflex) 1 capsule by mouth every 12 hours for 7 days,1737
(Allegra) 1 tablet by mouth daily,1735
1 tablet by mouth every evening at bedtime as needed,1735
40 mg one orally daily,1728
(Also Known As Naprosyn) 1 tablet by mouth twice a day as needed for pain,1728
4 milliliters (320 mg) by mouth twice a day for 10 days,1726
takes as directed,1726
2 puf for inhalation every 4 hours as needed,1724
2 puffs from the inhaler every 6 hours,1723
